Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,2,OP,Conventional Steam Coal,ST,IPP Non-CHP,2,956.8,858,858,12,1986,SUB,NG,Y,Y,LIG,SUB,NG,PC,,,N,, , , , ,,,,,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,3,OS,Landfill Gas,ST,Electric Utility,1,23.0,18,18,12,1953,LFG,NG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,4,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,50.0,40,40,9,1959,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,5,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,50.0,40,40,11,1964,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,2A,OP,Natural Gas Fired Combined Cycle,CT,Electric Utility,1,89.9,73,73,6,1993,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,71,73,71,73,1H,1H,Y,,Y,
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,4,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,81.6,67.6,72,8,1968,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,70,72,70,72,6H,6H,Y,,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,10A,OP,Natural Gas Fired Combined Cycle,CT,Electric Utility,1,85.3,73,73,1,1995,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,72,73,72,73,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,10B,OP,Natural Gas Fired Combined Cycle,CT,Electric Utility,1,85.3,73,73,1,1995,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,72,73,72,73,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,5,OP,Natural Gas Fired Combined Cycle,CA,Electric Utility,1,75.0,56,60,1,1995,NG,DFO,Y,Y,NG,OBG,,,,,N,, , , , ,,,,,,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,GT10,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,47.4,47.4,1,2002,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,47.4,47.4,47.4,47.4,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,GT11,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,47.4,47.4,1,2002,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,47.4,47.4,47.4,47.4,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,GT12,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,47.4,47.4,1,2002,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,47.4,47.4,47.4,47.4,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,GT13,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,47.4,47.4,1,2002,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,47.4,47.4,47.4,47.4,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,399,Harbor,CA,Los Angeles,GT14,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,47.4,47.4,1,2002,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,47.4,47.4,47.4,47.4,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,1,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,230.0,222,222,9,1962,NG,OBG,Y,Y,NG,OBG,,,,,N,, , , , ,,,,,,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,10,OP,Natural Gas Fired Combined Cycle,CT,Electric Utility,1,182.8,162.5,162.5,1,2005,NG,DFO,Y,Y,NG,OBG,,,,,Y,Y,162.5,155,162.5,155,1H,1H,Y,Y,Y,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,11,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,108.2,99.4,99.4,6,2013,NG,OBG,Y,Y,NG,OBG,,,,,N,, , , , ,,,,,,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,12,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,108.2,99.4,99.4,6,2013,NG,OBG,Y,Y,NG,OBG,,,,,N,, , , , ,,,,,,
