Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,2,OP,IC,Electric Utility,1,1.0,0.9,1,NG,DFO,N,,,,,,,Y,Y,0.9, ,0.9, ,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,4A,OP,IC,Electric Utility,1,3.7,3.7,3.7,NG,DFO,N,,,,,,,Y,Y,3.7, ,3.7, ,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,5,OP,IC,Electric Utility,1,3.3,3,3.3,NG,DFO,N,,,,,,,Y,Y,3, ,3, ,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,6,OP,IC,Electric Utility,1,2.7,2.5,2.7,NG,DFO,N,,,,,,,Y,Y,2.5, ,2.5, ,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,7,OP,IC,Electric Utility,1,5.6,5.2,5.6,NG,DFO,N,,,,,,,Y,Y,5.2, ,5.2, ,1H,1H,Y,Y,Y,
998,City of Augusta - (KS),1261,Augusta Electric Plant No 1,KS,Butler,1,SB,IC,Electric Utility,1,1.1,1.1,1.1,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),1261,Augusta Electric Plant No 1,KS,Butler,3,SB,IC,Electric Utility,1,1.0,1,1,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),1261,Augusta Electric Plant No 1,KS,Butler,5,SB,IC,Electric Utility,1,2.2,2.2,2.2,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),1261,Augusta Electric Plant No 1,KS,Butler,6,SB,IC,Electric Utility,1,2.2,2.2,2.2,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),1261,Augusta Electric Plant No 1,KS,Butler,7,SB,IC,Electric Utility,1,2.0,2,2,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),6791,Augusta Electric Plant No 2,KS,BUTLER,1,OP,IC,Electric Utility,1,4.0,4,4,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),6791,Augusta Electric Plant No 2,KS,BUTLER,2,OP,IC,Electric Utility,1,4.0,4,4,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),6791,Augusta Electric Plant No 2,KS,BUTLER,3,OP,IC,Electric Utility,1,6.0,6,6,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
998,City of Augusta - (KS),6791,Augusta Electric Plant No 2,KS,BUTLER,4,OP,IC,Electric Utility,1,6.7,6.6,6.6,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
