Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Year,Steam Plant Type
13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,1,SC,N,N,, , ,ST,2.07, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1995,LN,AA,SN,LN,AA,SN,ST,0.22,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,2,OP,N,N,, , ,ST,2.07, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1995,LN,AA,SN,LN,AA,SN,ST,0.23,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,3,SC,N,N,, , ,ST,2.07, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1995,LN,AA,SN,LN,AA,SN,ST,0.16,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,4,SC,N,N,, , ,ST,2.07, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1995,LN,AA,SN,LN,AA,SN,ST,0.16,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13606,Nine Mile Point Nuclear Sta LLC,2589.0,Nine Mile Point Nuclear Station,NY,NSS1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
13606,Nine Mile Point Nuclear Sta LLC,2589.0,Nine Mile Point Nuclear Station,NY,NSS2,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
13923,NRG Oswego Harbor Power Operations Inc,2594.0,Oswego Harbor Power,NY,5,OP,N,N,, , ,ST,0.75,0,SU,DA,1976,NC,,,NC,,,ST,0.25,NP,DA,1976,NC,,,NC,,,ST,0.1,PB,NV,1976,, ,,,,,,,2013,
13923,NRG Oswego Harbor Power Operations Inc,2594.0,Oswego Harbor Power,NY,6,OP,D,N,, , ,ST,0.75,0,SU,TH,1980,NC,,,NC,,,ST,0.22,NP,TH,1980,NC,,,NC,,,ST,0.1,PB,TH,1980,, ,,,,,,,2013,
14294,PSEG Power New York Inc,2539.0,Bethlehem Energy Center,NY,1,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
14294,PSEG Power New York Inc,2539.0,Bethlehem Energy Center,NY,2,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
14294,PSEG Power New York Inc,2539.0,Bethlehem Energy Center,NY,3,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
14294,PSEG Power New York Inc,2539.0,Bethlehem Energy Center,NY,4,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
14294,PSEG Power New York Inc,2539.0,Bethlehem Energy Center,NY,5,OP,Db,Y,4-0122-00044/00021,2,2002,ST,0.0006, ,DP,NV,2005,SS,,,NC,,,ST,0.0073,NP,NV,2005,SR,LN,,NC,,,ST,0.011,PB,NV,2005,, ,,,,,,,2013,
