Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?,Year,Technology,Multiple Fuels?,Operating Month,Operating Year
5511,CCI Roseton LLC,8006,Roseton Generating Facility,NY,Orange,1,OP,ST,IPP Non-CHP,2,621.0,614.8,613.2,NG,RFO,Y,RFO,NG,,,,,Y,Y,614.8,613.2,614.8,613.2,1H,1H,Y,,,Y,2024,Natural Gas Steam Turbine,Y,12.0,1974.0
5511,CCI Roseton LLC,8006,Roseton Generating Facility,NY,Orange,2,OP,ST,IPP Non-CHP,2,621.0,607.7,607.7,NG,RFO,Y,RFO,NG,,,,,Y,Y,607.7,607.7,607.7,607.7,1H,1H,Y,,,Y,2024,Natural Gas Steam Turbine,Y,9.0,1974.0
54863,U S Power Generating Company LLC,8906,Astoria Generating Station,NY,Queens,3,OP,ST,IPP Non-CHP,2,376.0,369.9,369.9,NG,RFO,Y,RFO,NG,,,,,Y,Y,370.2,373.2,370.2,373.2,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,9.0,1958.0
54863,U S Power Generating Company LLC,8906,Astoria Generating Station,NY,Queens,4,OS,ST,IPP Non-CHP,2,387.0,376.3,376.3,NG,RFO,Y,RFO,NG,,,,,Y,Y,372,372,361,361,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,12.0,1961.0
54863,U S Power Generating Company LLC,8906,Astoria Generating Station,NY,Queens,ST5,OP,ST,IPP Non-CHP,2,387.0,376.3,376.3,NG,RFO,Y,RFO,NG,,,,,Y,Y,376.9,384.2,376.9,384.2,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,5.0,1962.0
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,17TG,OP,ST,Industrial CHP,7,15.0,15,15,NG,DFO,Y,RFO,NG,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,12.0,1968.0
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,41TG,OP,ST,Industrial CHP,7,25.6,25.6,25.6,NG,DFO,Y,RFO,NG,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,5.0,1964.0
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,42TG,OP,ST,Industrial CHP,7,25.6,25.6,25.6,NG,DFO,Y,RFO,NG,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,8.0,1967.0
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,43TG,OP,ST,Industrial CHP,7,25.6,25.6,25.6,NG,DFO,Y,RFO,NG,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,4.0,1969.0
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,44TG,OP,ST,Industrial CHP,7,25.6,25.6,25.6,NG,DFO,Y,DFO,NG,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,8.0,1987.0
