Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
772,Archer Daniels Midland Co,57046,Archer Daniels Midland Columbus,CFB2,GEN1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,1,ST1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,2,ST2
796,Arizona Electric Pwr Coop Inc,160,Apache Station,3,ST3
803,Arizona Public Service Co,113,Cholla,1,1
803,Arizona Public Service Co,113,Cholla,2,2
803,Arizona Public Service Co,113,Cholla,3,3
803,Arizona Public Service Co,113,Cholla,4,4
803,Arizona Public Service Co,116,Ocotillo,1,1
803,Arizona Public Service Co,116,Ocotillo,2,2
803,Arizona Public Service Co,117,West Phoenix,1B,1B
803,Arizona Public Service Co,117,West Phoenix,2B,2B
803,Arizona Public Service Co,117,West Phoenix,3B,3B
803,Arizona Public Service Co,117,West Phoenix,CC4,C4-2
803,Arizona Public Service Co,117,West Phoenix,CC5B,C5-3
803,Arizona Public Service Co,117,West Phoenix,CC5A,C5-3
803,Arizona Public Service Co,118,Saguaro,1,1
803,Arizona Public Service Co,118,Saguaro,2,2
803,Arizona Public Service Co,120,Yucca,1,ST1
803,Arizona Public Service Co,2442,Four Corners,1,1
803,Arizona Public Service Co,2442,Four Corners,2,2
803,Arizona Public Service Co,2442,Four Corners,3,3
803,Arizona Public Service Co,2442,Four Corners,4,4
803,Arizona Public Service Co,2442,Four Corners,5,5
803,Arizona Public Service Co,6008,Palo Verde,NSS1,1
803,Arizona Public Service Co,6008,Palo Verde,NSS2,2
803,Arizona Public Service Co,6008,Palo Verde,NSS3,3
803,Arizona Public Service Co,55455,Red Hawk,HRSG1B,ST1
803,Arizona Public Service Co,55455,Red Hawk,HRSG1A,ST1
803,Arizona Public Service Co,55455,Red Hawk,HRSG2A,ST2
803,Arizona Public Service Co,55455,Red Hawk,HRSG2B,ST2
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,2,1
807,Arkansas Electric Coop Corp,202,Carl Bailey,01,1
807,Arkansas Electric Coop Corp,203,McClellan (AR),01,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG7,G8
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG3,G8
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG1,G8
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG2,G8
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG6,G8
