Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
64778,"Strata Manager, LLC",61091,Laurinburg Farm,NC,1,OP,"Laurinburg Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60705,1.0
58822,MC Power Companies Inc,61092,Independence Solar Farm,MO,IPL1,OP,Gardner Capital,4803 S National Ste 300,Springfield,MO,65810,64270,1.0
64778,"Strata Manager, LLC",61093,Mills Anson Farm,NC,1,OP,"Mills Anson Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60706,1.0
64778,"Strata Manager, LLC",61094,Old Wire Farm,NC,1,OP,"Old Wire Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60707,1.0
64778,"Strata Manager, LLC",61095,Railroad Farm 2,NC,1,OP,"Railroad Farm 2, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60708,1.0
64778,"Strata Manager, LLC",61096,Sampson Solar,NC,1,OP,"Sampson Solar, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60709,1.0
60336,SDGE Batteries,61107,Vanadium Redox Flow Battery Plant,CA,VRF,OP,San Diego Gas & Electric Co,8330 Century Park Cour,San Diego,CA,92123,16609,1.0
12670,Missouri Jnt Muni.Pwr Elec. Ut. Comm.,61135,Lebanon Solar Farm (MO),MO,LSF1,OP,MPUA,"2200 Maguire Blvd,",Columbia,MO,65201,64571,1.0
62759,National Grid Renewables,61139,Marmas Solar CSG,MN,MARM2,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61139,Marmas Solar CSG,MN,MARM3,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61139,Marmas Solar CSG,MN,MARM4,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61139,Marmas Solar CSG,MN,MARM5,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61142,WasecaSun,MN,0000H,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61142,WasecaSun,MN,WASE2,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61142,WasecaSun,MN,WASE3,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61142,WasecaSun,MN,WASE4,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61142,WasecaSun,MN,WASE5,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
57313,Tesla Inc.,61152,Intel Folsom Phase 3,CA,PV1,OP,"Three Rivers Solar I, LLC",6800 Dumbarton Circle,Fremont,CA,94555,59567,1.0
57128,Bloom Energy,61153,AT&T Holger,CA,AT057,OP,KeyBank,127 Public Square,Cleveland,OH,44114,60948,1.0
57128,Bloom Energy,61154,AT&T Anaheim,CA,AT058,OP,Wells Fargo,20 Montgomery St,San Francisco,CA,94104,60949,1.0
60797,68SF 8me LLC,61168,"Eland Solar & Storage Center, Phase 1 Hybrid",CA,61168,U,Arevon Asset Management,"8800 N Gainey Center Dr, Suite 250",Scottsdale,AZ,85258,64172,1.0
60797,68SF 8me LLC,61168,"Eland Solar & Storage Center, Phase 1 Hybrid",CA,68SF8,U,Arevon Asset Management,"8800 N Gainey Center Dr, Suite 250",Scottsdale,AZ,85258,64172,1.0
60798,69SV 8me LLC,61169,"Eland Solar & Storage Center, Phase 2 Hybrid",CA,61169,T,Arevon Asset Management,"8800 N Gainey Center Dr, Suite 250",Scottsdale,AZ,85258,64172,1.0
60798,69SV 8me LLC,61169,"Eland Solar & Storage Center, Phase 2 Hybrid",CA,69SV8,T,Arevon Asset Management,"8800 N Gainey Center Dr, Suite 250",Scottsdale,AZ,85258,64172,1.0
60520,SoCore Energy LLC,61199,T0588 Phoenix - AZ,AZ,PV1,OP,Project Company Phase II-T LLC,"225 W Hubbard St., Ste #200",Chicago,IL,60654,60854,1.0
60520,SoCore Energy LLC,61203,"Lahr 1, LLC",MN,PV1,OP,"SoCore MN Acquisition, LLC","225 W Hubbard St., Ste #200",Chicago,IL,60654,60855,1.0
60520,SoCore Energy LLC,61205,Bandera Electric Coop PV,TX,PV1,OP,SoCore Bandera LLC,"225 W Hubbard St., Ste #200",Chicago,IL,60654,60856,1.0
60584,Onyx Asset Services Group,61206,Onyx - Allen Harim,DE,10021,OP,Janus Solar Fund LP,230 Park Avenue,New York,NY,10169,60820,1.0
64778,"Strata Manager, LLC",61220,"Spencer Farm, LLC",NC,1,OP,"Spencer Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60848,1.0
12670,Missouri Jnt Muni.Pwr Elec. Ut. Comm.,61223,Chillicothe Solar Farm,MO,CHSF1,OP,MPUA,"2200 Maguire Blvd,",Columbia,MO,65201,64571,1.0
9778,Johnson County Rural E M C,61266,Orme Park Water Treatment Plant,IN,ORME,RE,Indiana American Water Co.,2501 Endress Place,Greenwood,IN,46143,60884,1.0
9778,Johnson County Rural E M C,61267,Hurricane Creek Lift Station,IN,HURR,SB,City of Greenwood,300 S Madison Avenue,Greenwood,IN,46142,60885,1.0
60880,The Biltmore Company,61271,Biltmore Solar Fields,NC,18950,OP,"Biltmore Natural Resources, LLC",1 N. Pack Square,Asheville,NC,28801,60895,0.6
60880,The Biltmore Company,61271,Biltmore Solar Fields,NC,18950,OP,"Biltmore Energy Company, LLC",1 N. Pack Square,Asheville,NC,28801,60896,0.4
